plan_id,tradefl_score,peak_memory_bytes,compute_to_target_seconds,communication_to_target_bytes,latency_to_target_seconds,validation_utility,accuracy_loss,privacy_risk,rounds_to_target,feasible
federated_distillation,0.3765428582793294,78400170.66666667,0.07094966800650576,163.0,0.07096596800650577,0.57,0.33,0.3,1.0,True
lora_rank_16,0.3598760481314647,78398805.33333333,0.07057313265977423,143.0,0.07058743265977424,0.57,0.33,0.25,1.0,True
lora_rank_8,0.359876560260396,78398805.33333333,0.07224982734381527,141.0,0.0722639273438153,0.57,0.33,0.25,1.0,True
qlora_4bit_rank_8,0.3498761068277458,78398805.33333333,0.07076203467052737,153.0,0.07077733467052737,0.57,0.33,0.22,1.0,True
splitfed_layer_8,0.4032094546008628,78398805.33333333,0.07080999832639152,151.0,0.07082509832639154,0.57,0.33,0.38000000000000006,1.0,True
splitfed_layer_8_activation_compression,0.3898759149364039,78398805.33333333,0.0701200790063012,197.0,0.0701397790063012,0.57,0.33,0.34,1.0,True
