plan_id,peak_memory_bytes,compute_to_target_seconds,communication_to_target_bytes,mean_round_latency_seconds,p95_round_latency_seconds,latency_to_target_seconds,energy_to_target_joules,privacy_risk,validation_utility,test_utility,rounds_to_target,tradefl_score,feasible,status
llama3_8b_qlora,17698064725.333332,368.10408323570545,81788928.0,588.2258333659944,881.5773203194966,1176.4516667319888,38618.037961000315,0.25,0.5133333333333333,0.4666666666666666,,,False,completed
llama3_8b_lora,,,,,,,,,,,,,,not_run
deepseek_r1_distill_llama_8b_lora,,,,,,,,,,,,,,not_run
bio_clinicalbert_baseline,,,,,,,,,,,,,,not_run
bio_clinicalbert_splitfed,,,,,,,,,,,,,,not_run
bio_clinicalbert_federated_distillation,,,,,,,,,,,,,,not_run
qwen2_5_7b_centralized_baseline,,,,,,,,,,,,,,external_not_federated
