plan_id,tradefl_score,peak_memory_bytes,compute_to_target_seconds,communication_to_target_bytes,latency_to_target_seconds,mean_round_latency_seconds,p95_round_latency_seconds,energy_to_target_joules,validation_utility,test_utility,accuracy_loss,privacy_risk,rounds_to_target,feasible,observed,status
llama3_8b_qlora,,17698064725.333332,368.10408323570545,81788928.0,1176.4516667319888,588.2258333659944,881.5773203194966,38618.037961000315,0.5133333333333333,0.4666666666666666,0.3866666666666667,0.25,,False,True,completed
llama3_8b_lora,,,,,,,,,,,,,,,False,not_run
deepseek_r1_distill_llama_8b_lora,,,,,,,,,,,,,,,False,not_run
bio_clinicalbert_baseline,,,,,,,,,,,,,,,False,not_run
bio_clinicalbert_splitfed,,,,,,,,,,,,,,,False,not_run
bio_clinicalbert_federated_distillation,,,,,,,,,,,,,,,False,not_run
qwen2_5_7b_centralized_baseline,,,,,,,,,,,,,,,False,external_not_federated
